,l,hex,y,rgb,r,g,b,hsv,hue,sat,val
61,0.86127451,#F8D2BE,2,"(248, 210, 190)",0.9725490196078431,0.8235294117647058,0.7450980392156863,"(0.057471264367816056, 0.23387096774193544, 0.9725490196078431)",0.057471264367816056,0.23387096774193544,0.9725490196078431
62,0.527818627,#B77156,1,"(183, 113, 86)",0.7176470588235294,0.44313725490196076,0.33725490196078434,"(0.04639175257731957, 0.5300546448087431, 0.7176470588235294)",0.04639175257731957,0.5300546448087431,0.7176470588235294
63,0.714040616,#D2A999,4,"(210, 169, 153)",0.8235294117647058,0.6627450980392157,0.6,"(0.04678362573099415, 0.2714285714285714, 0.8235294117647058)",0.04678362573099415,0.2714285714285714,0.8235294117647058
64,0.641437908,#D78E6F,1,"(215, 142, 111)",0.8431372549019608,0.5568627450980392,0.43529411764705883,"(0.04967948717948719, 0.48372093023255813, 0.8431372549019608)",0.04967948717948719,0.48372093023255813,0.8431372549019608
65,0.647511312,#C79B83,4,"(199, 155, 131)",0.7803921568627451,0.6078431372549019,0.5137254901960784,"(0.0588235294117647, 0.34170854271356793, 0.7803921568627451)",0.0588235294117647,0.34170854271356793,0.7803921568627451
66,0.515686275,#A67D61,2,"(166, 125, 97)",0.6509803921568628,0.49019607843137253,0.3803921568627451,"(0.06763285024154587, 0.4156626506024097, 0.6509803921568628)",0.06763285024154587,0.4156626506024097,0.6509803921568628
67,0.666499406,#CCA586,4,"(204, 165, 134)",0.8,0.6470588235294118,0.5254901960784314,"(0.07380952380952381, 0.3431372549019608, 0.8)",0.07380952380952381,0.3431372549019608,0.8
68,0.588562092,#B69275,4,"(182, 146, 117)",0.7137254901960784,0.5725490196078431,0.4588235294117647,"(0.07435897435897433, 0.3571428571428572, 0.7137254901960784)",0.07435897435897433,0.3571428571428572,0.7137254901960784
69,0.688235294,#DDA681,3,"(221, 166, 129)",0.8666666666666667,0.6509803921568628,0.5058823529411764,"(0.06702898550724638, 0.416289592760181, 0.8666666666666667)",0.06702898550724638,0.416289592760181,0.8666666666666667
70,0.720388287,#DDAE90,3,"(221, 174, 144)",0.8666666666666667,0.6823529411764706,0.5647058823529412,"(0.06493506493506494, 0.3484162895927602, 0.8666666666666667)",0.06493506493506494,0.3484162895927602,0.8666666666666667
